"Tên sản phẩm","Giá","Mã","Link công khai"
"Vòng ngọc","15","VN","https://drive.google.com/uc?export=view&id=15793sLBef5fFYiArjJ4uJe1ruv2SAlqC"
"Vòng cổ","10","VC","https://drive.google.com/uc?export=view&id=1p0Axbfe74Ewlq6zO_SL4iLXM2ZU5Z1cc"
"Vòng bạc","15","VB","https://drive.google.com/uc?export=view&id=18pGZzz0tSNp6HibX5VHVMRrMqzGE5ZSh"
"Voan tròn","20","VT","https://drive.google.com/uc?export=view&id=1v9rmwq4l1LRH8GWbD0n_PwTIzxY4Ra9q"
"Voan hoa","20","VH","https://drive.google.com/uc?export=view&id=1EFuZpR6bmNR3gRmhhVTAliBxBkcfQGHI"
"Voan dài","20","VD","https://drive.google.com/uc?export=view&id=1OW7t9YeL0uTfXHTYVDD6hoT4-SYf05Ad"
"Trâm","10","T","https://drive.google.com/uc?export=view&id=1bQk8pGnnEZ1DWkayrvykeu9qFfjDfqVQ"
"Quốc mộc","35","GM","https://drive.google.com/uc?export=view&id=1D5olV7nfIQ7zXKnR9nKusZf2iAqk4xWp"
"Sticker","0","STK","https://drive.google.com/uc?export=view&id=1t2D1aLdBvE27UHTuDo5b8PfB0qTo_4wq"
"Quạt","10","Q","https://drive.google.com/uc?export=view&id=18TkXJzyVdz07fE0UAngyKr2WlL-nM116"
"Nước nhỏ mắt","50","NM","https://drive.google.com/uc?export=view&id=1gCTo9WY1D5FoQlN9sNS66bDiA5TmLJlg"
"Nước ngâm lens","50","NN","https://drive.google.com/uc?export=view&id=1kUcTaAIkpW_Cm6Ky7ZxIa1eOcjT8tRaO"
"Lens","69","LM","https://drive.google.com/uc?export=view&id=1VDT37PZQOi1T8d1IoD2N2jkBFl15VCl4"
"Hoa tai","5","HT","https://drive.google.com/uc?export=view&id=1lDqnwODYNqpm_8QEuaS_Xh0VeKkwnV81"
"Khăn","15","K","https://drive.google.com/uc?export=view&id=1Ts_m2GbG7oFeWirPgCJYA2O0S-lKj6gh"
"Kẹp tóc, Hoa kẹp","5","KT","https://drive.google.com/uc?export=view&id=1xbijSgW5wD_cyPE4_jzajFLXSYBcD5ml"
"Kẹp mắt đeo len","15","KM","https://drive.google.com/uc?export=view&id=1E2Sf7mltY8lzAl27H9Fzr14AVAaIik-l"
"Hoa giả 20k","20","HG20","https://drive.google.com/uc?export=view&id=1G2_qkrlehhb2bxwAHqB9-daJzZF_slGZ"
"Hoa giả 10k","10","HG10","https://drive.google.com/uc?export=view&id=1QBzYDC54_9f66Rs-k0kvNzibntH-r2mL"
"Crunchies","5","CRC","https://drive.google.com/uc?export=view&id=16Zc539_nAi1vsx1ceZkVOsDk4ddccNqu"
"Choàng Vai","20","CV","https://drive.google.com/uc?export=view&id=1O1pXwma3QyhwkrMBwkT3P7pVUagKg0bo"
"Cờ đỏ","0","CD","https://drive.google.com/uc?export=view&id=1kOaFrdMU1NGxXr4AJwRjubrSB3MrjiQ_"
"Bờm","5","B","https://drive.google.com/uc?export=view&id=1G00rmFhmDNCkgx9Sg90-WAaK4wrGpqS5"
